hour,day_name,quarter,trades,wins,pnl,win_rate
1,Saturday,Q4,44,34,23.119999999999997,77.27272727272727
2,Wednesday,Q2,59,45,29.82,76.27118644067797
0,Friday,Q2,48,36,23.04,75.0
2,Wednesday,Q1,49,36,22.02,73.46938775510205
23,Tuesday,Q4,57,41,23.86,71.9298245614035
20,Saturday,Q4,57,41,23.86,71.9298245614035
17,Sunday,Q2,39,28,16.22,71.7948717948718
4,Saturday,Q2,49,35,20.02,71.42857142857143
4,Saturday,Q3,35,25,14.299999999999999,71.42857142857143
8,Saturday,Q2,56,40,22.88,71.42857142857143
3,Tuesday,Q3,55,39,21.9,70.9090909090909
23,Saturday,Q4,57,40,21.86,70.17543859649122
8,Saturday,Q1,56,39,20.88,69.64285714285714
23,Wednesday,Q4,59,41,21.82,69.49152542372882
16,Tuesday,Q4,39,27,14.219999999999999,69.23076923076923
13,Friday,Q4,71,49,25.58,69.01408450704226
21,Thursday,Q3,45,31,16.099999999999998,68.88888888888889
9,Saturday,Q3,51,35,17.98,68.62745098039215
20,Sunday,Q2,54,37,18.919999999999998,68.51851851851852
0,Wednesday,Q4,54,37,18.919999999999998,68.51851851851852
23,Tuesday,Q2,57,39,19.86,68.42105263157895
0,Saturday,Q1,41,28,14.18,68.29268292682927
18,Sunday,Q2,44,30,15.12,68.18181818181817
0,Friday,Q1,47,32,16.06,68.08510638297872
21,Wednesday,Q2,47,32,16.06,68.08510638297872
13,Monday,Q4,75,51,25.5,68.0
19,Saturday,Q3,53,36,17.939999999999998,67.9245283018868
18,Saturday,Q4,56,38,18.88,67.85714285714286
7,Saturday,Q2,56,38,18.88,67.85714285714286
23,Monday,Q4,59,40,19.82,67.79661016949152
16,Monday,Q2,37,25,12.26,67.56756756756756
5,Saturday,Q1,43,29,14.139999999999999,67.44186046511628
2,Saturday,Q4,49,33,16.02,67.3469387755102
22,Monday,Q2,55,37,17.9,67.27272727272727
12,Saturday,Q1,58,39,18.84,67.24137931034483
11,Monday,Q4,61,41,19.779999999999998,67.21311475409836
10,Friday,Q4,70,47,22.599999999999998,67.14285714285714
10,Monday,Q3,70,47,22.599999999999998,67.14285714285714
23,Friday,Q4,48,32,15.04,66.66666666666666
13,Saturday,Q2,69,46,21.619999999999997,66.66666666666666
17,Monday,Q4,48,32,15.04,66.66666666666666
16,Sunday,Q4,36,24,11.28,66.66666666666666
12,Saturday,Q3,63,42,19.74,66.66666666666666
9,Sunday,Q4,72,48,22.56,66.66666666666666
19,Tuesday,Q4,57,38,17.86,66.66666666666666
21,Thursday,Q1,51,34,15.979999999999999,66.66666666666666
17,Saturday,Q4,54,36,16.919999999999998,66.66666666666666
6,Thursday,Q4,74,49,22.52,66.21621621621621
20,Thursday,Q4,65,43,19.7,66.15384615384615
19,Friday,Q4,62,41,18.759999999999998,66.12903225806451
7,Sunday,Q1,62,41,18.759999999999998,66.12903225806451
16,Wednesday,Q1,56,37,16.88,66.07142857142857
20,Friday,Q4,56,37,16.88,66.07142857142857
17,Saturday,Q1,53,35,15.94,66.0377358490566
1,Saturday,Q1,47,31,14.059999999999999,65.95744680851064
3,Sunday,Q4,41,27,12.18,65.85365853658537
3,Monday,Q2,41,27,12.18,65.85365853658537
0,Monday,Q3,41,27,12.18,65.85365853658537
4,Sunday,Q2,35,23,10.299999999999999,65.71428571428571
2,Sunday,Q4,64,42,18.72,65.625
8,Saturday,Q4,55,36,15.899999999999999,65.45454545454545
19,Tuesday,Q2,55,36,15.899999999999999,65.45454545454545
20,Saturday,Q1,52,34,14.959999999999999,65.38461538461539
23,Friday,Q2,49,32,14.02,65.3061224489796
5,Saturday,Q4,49,32,14.02,65.3061224489796
5,Friday,Q4,72,47,20.56,65.27777777777779
6,Friday,Q1,63,41,17.74,65.07936507936508
12,Monday,Q4,60,39,16.799999999999997,65.0
4,Friday,Q1,60,39,16.799999999999997,65.0
13,Monday,Q1,54,35,14.919999999999998,64.81481481481481
12,Monday,Q2,54,35,14.919999999999998,64.81481481481481
13,Saturday,Q4,71,46,19.58,64.7887323943662
21,Wednesday,Q1,48,31,13.04,64.58333333333334
0,Tuesday,Q2,62,40,16.759999999999998,64.51612903225806
1,Thursday,Q2,62,40,16.759999999999998,64.51612903225806
3,Friday,Q2,62,40,16.759999999999998,64.51612903225806
2,Tuesday,Q2,59,38,15.819999999999999,64.40677966101694
16,Saturday,Q1,73,47,19.54,64.38356164383562
6,Wednesday,Q4,84,54,22.32,64.28571428571429
5,Sunday,Q2,56,36,14.879999999999999,64.28571428571429
3,Saturday,Q4,42,27,11.16,64.28571428571429
20,Tuesday,Q2,56,36,14.879999999999999,64.28571428571429
23,Friday,Q1,56,36,14.879999999999999,64.28571428571429
14,Saturday,Q4,67,43,17.66,64.17910447761194
0,Thursday,Q3,50,32,13.0,64.0
1,Wednesday,Q3,61,39,15.78,63.934426229508205
11,Sunday,Q4,58,37,14.84,63.793103448275865
23,Thursday,Q1,44,28,11.12,63.63636363636363
18,Monday,Q1,44,28,11.12,63.63636363636363
1,Sunday,Q1,66,42,16.68,63.63636363636363
8,Tuesday,Q4,85,54,21.299999999999997,63.52941176470588
20,Wednesday,Q4,52,33,12.959999999999999,63.46153846153846
4,Monday,Q1,52,33,12.959999999999999,63.46153846153846
2,Monday,Q3,41,26,10.18,63.41463414634146
0,Tuesday,Q3,71,45,17.58,63.38028169014085
16,Saturday,Q3,68,43,16.64,63.23529411764706
20,Monday,Q1,57,36,13.86,63.1578947368421
1,Sunday,Q2,57,36,13.86,63.1578947368421
22,Wednesday,Q1,38,24,9.239999999999998,63.1578947368421
12,Sunday,Q4,65,41,15.7,63.07692307692307
13,Saturday,Q1,65,41,15.7,63.07692307692307
0,Saturday,Q3,46,29,11.079999999999998,63.04347826086957
16,Tuesday,Q1,46,29,11.079999999999998,63.04347826086957
4,Monday,Q3,54,34,12.919999999999998,62.96296296296296
5,Thursday,Q2,70,44,16.599999999999998,62.857142857142854
22,Thursday,Q2,43,27,10.139999999999999,62.7906976744186
18,Wednesday,Q2,51,32,11.979999999999999,62.745098039215684
7,Saturday,Q4,59,37,13.819999999999999,62.71186440677966
18,Saturday,Q1,59,37,13.819999999999999,62.71186440677966
5,Sunday,Q4,56,35,12.879999999999999,62.5
21,Sunday,Q1,56,35,12.879999999999999,62.5
22,Wednesday,Q2,48,30,11.04,62.5
21,Tuesday,Q2,56,35,12.879999999999999,62.5
22,Thursday,Q4,40,25,9.2,62.5
1,Saturday,Q2,40,25,9.2,62.5
1,Wednesday,Q4,56,35,12.879999999999999,62.5
20,Friday,Q3,61,38,13.78,62.295081967213115
11,Monday,Q2,61,38,13.78,62.295081967213115
15,Tuesday,Q1,53,33,11.94,62.264150943396224
21,Saturday,Q1,53,33,11.94,62.264150943396224
19,Sunday,Q2,45,28,10.1,62.22222222222222
